/*
// 注釋/例句
繁簡轉換前誤	正
环视一周	環視一周
// 解析錯誤 @ 《咫尺之间人尽敌国》	周会长说着， (nh:周会长)
周会长	周會長
// [general.TW.txt]	今周刊持续揭露第一手的财经资讯与产业动态。 (~周刊<SBV>v:揭露 nt:今+n:周刊+v:持续+v:揭露+b:第一手+u:的+n:财经+n:资讯+c:与+n:产业+n:动态+wp:。)
今周刊	今周刊
// 解析錯誤 @ 《我在幕后调教大佬》	大周三洲， (~大周<←VOB>m:三洲 nd:大周+m:三洲) (~周<role.type:ARGM-ADV>大 ~周<role.type:A1>三洲 nd:大+v:周+m:三+n:洲) (~周<ATT>n:洲 a:大+v:周+m:三+n:洲) (a:大周+m:三+n:洲)
// 解析錯誤 @ 《剑仙三千万》	这则消息现在局限于大周上层流传， (~大周<ATT>nd:上层 r:这+q:则+n:消息+nt:现在+v:局限+p:于+ns:大周+nd:上层+v:流传+wp:，) (~大周<ATT>nd:上层 r:这+q:则+n:消息+nt:现在+v:局限+p:于+n:大周+nd:上层+v:流传+wp:，)
// 解析錯誤 @ 《剑仙三千万》	大周中都跺一跺脚能让整个中都为之震动的大人物， (n:大周中+d:都) (a:大周中+d:都+v:跺+m:一+v:跺+n:脚) (nt:大周中+d:都)
// 解析錯誤 @ 《剑仙三千万》	可大周数千年的思想教育和改造， (~大周<ATT>q:年 c:可+a:大周+m:数千+q:年+u:的+n:思想+v:教育+c:和+v:改造+wp:，) (~周<ATT>q:年 v:可+a:大+n:周+m:数千+q:年+u:的+n:思想+v:教育+c:和+v:改造+wp:，)
// 解析錯誤 @ 《大奉打更人》	恍然间，仿佛回到了大周末年。 (nt:大周末年)
// 解析錯誤 @ 《大奉打更人》	他生于大周末期， (r:他+v:生+p:于+a:大+nt:周末期)
// 解析錯誤 @ 《大奉打更人》	大周末期， (nt:大周末期+wp:，) (a:大+nh:周末期+wp:，)
// 解析錯誤 @ 《大奉打更人》	大周三百年后亡。 (~大周<SBV>v:亡 nz:大周+m:三百+q:年+nd:后+v:亡+wp:。)
// 解析錯誤 @ 《大奉打更人》	大周中叶， (~大周<ATT>nt:中叶 nt:大周+nt:中叶+wp:，)
// 解析錯誤 @ 《大奉打更人》	大周中后期， (~大周<ATT>nt:中后期 j:大周+nt:中后期+wp:，)
// 解析錯誤 @ 《大奉打更人》	大周一位亲王， (~大周<ATT>n:亲王 nh:大周+m:一+q:位+n:亲王+wp:，)
大周	大周
// 《亏成首富从游戏开始》	大周末的怎么还发工作方案呢？ (~週末<ADV>v:发 nt:大+nt:周末+u:的+r:怎么+d:还+v:发+v:工作+n:方案+u:呢+wp:？)
大周末的	大週末的
// 《苍青之剑》	希德莉法连忙调整周身的磁场转动， (~周身<ATT>n:磁场 nh:希德莉法+d:连忙+v:调整+n:周身+u:的+n:磁场+v:转动+wp:，) (~周身<ATT>n:磁场 nh:希德莉法+d:连忙+v:调整+n:周身+u:的+n:磁场+v:转动+wp:，)
调整周身	調整周身
// 《我在幕后调教大佬》	双眼微闭，练气数周，呼吸渐渐悠长平缓。 (~周<CMP>v:练 m:双+n:眼+d:微+v:闭+wp:，+v:练+n:气+m:数+q:周+wp:，+v:呼吸+d:渐渐+a:悠长+a:平缓+wp:。)
练气数周	練氣數周
// 《玩家超正义》	然后再给他们多开点活动任务和周常任务， (~週常<ATT>n:任务 c:然后+d:再+p:给+r:他们+a:多+v:开+q:点+v:活动+n:任务+c:和+j:周常+n:任务+wp:，)
周常任务	週常任務
// 《我在幕后调教大佬》	是人身之上周天窍穴。 (~周天竅穴<VOB>v:是 v:是+n:人身+u:之+nd:上+n:周天窍穴+wp:。)
上周天窍穴	上周天竅穴
// 《我在幕后调教大佬》	就以姜尚的身份去见识一下周天星斗大阵， (~周天<ATT>n:星斗 d:就+p:以+nh:姜尚+u:的+n:身份+v:去+v:见识+m:一下+nh:周天+n:星斗+a:大阵+wp:，)
下周天星斗	下周天星斗


后车斗	後車斗
货斗	貨斗
斗金	斗金
斗米	斗米
南斗	南斗


回蕩	迴蕩
// 《我师兄实在太稳健了》	也没有半点回旋的余地。 (~迴旋<ATT>n:余地 d:也+v:没有+m:半点+v:回旋+u:的+n:余地+wp:。)
点回旋	點迴旋
// 《咫尺之间人尽敌国》	至今为止我脑海中还回绕着青锋学长的袅袅琴音。 (~迴繞<role.type:ARGM-TMP>至今为止 ~迴繞<role.type:A0>我脑海中 ~迴繞<role.type:ARGM-ADV>还 ~迴繞<role.type:A0>青锋学长的袅袅琴音 d:至今+v:为止+r:我+n:脑海+nd:中+d:还+v:回绕+u:着+nh:青锋+n:学长+u:的+z:袅袅+n:琴音+wp:。)
还回绕	還迴繞
// 《第一序列》	经罗岚这巡回法庭处理的案件有一个共同点： (~巡迴<ATT>n:法庭 p:经+nh:罗岚+r:这+v:巡回+n:法庭+v:处理+u:的+n:案件+v:有+m:一个+n:共同点+wp:：)
巡回法庭	巡迴法庭


// 《神国之上》	这一日，白藏传递回了消息。 (~回<CMP>v:传递 r:这+m:一+q:日+wp:，+nh:白+j:藏+v:传递+v:回+u:了+n:消息+wp:。)
传递回	傳遞回
// 《我的一天有48小时》	而且之后也没人能做那些低回报高强度的工作了。 (~回報<ATT>v:工作 c:而且+nd:之后+d:也+v:没+n:人+v:能+v:做+r:那些+a:低+v:回报+a:高+n:强度+u:的+v:工作+u:了+wp:。)
低回报	低回報
// 解析錯誤 @ 《无敌大佬要出世》	他将令牌递回给路一平， (p:将+n:令牌+v:递+v:回+v:给+nh:路+d:一平)
递回给	遞回給
// 《中国历史那些事儿系列套装》	这个人，就是被李陵派回向刘彻汇报情况的陈步乐。 (~回<CMP>v:派 r:这个+n:人+wp:，+d:就+v:是+p:被+nh:李陵+v:派+v:回+p:向+nh:刘彻+v:汇报+n:情况+u:的+nh:陈步乐+wp:。)
派回向	派回向

// [general.TW.txt]	这里好像也没什么草药之类的回复道具。 (~回復<ATT>n:道具 r:这里+v:好像+d:也+v:没+r:什么+n:草药+r:之类+u:的+v:回复+n:道具+wp:。)
回复道具	回復道具
// [general.TW.txt]	恶魔的回复能力。 (~回復<ATT>n:能力 n:恶魔+u:的+v:回复+n:能力)
回复能力	回復能力
// 《我在幕后调教大佬》	不是彻底回复状态。 (~回復<role.type:A1>状态 d:不+v:是+a:彻底+v:回复+n:状态)
回复状态	回復狀態
// 解析錯誤 @ 《大奉打更人》	它已回复原形， (~回復<role.type:A0>它 ~回復<role.type:ARGM-ADV>已 ~回復<role.type:A2>原形 r:它+d:已+v:回复+n:原形)
回复原形	回復原形
// 《我的一天有48小时》	让屋里重新回复黑暗。 (~回復<VOB>v:让 ~回復<role.type:A0>屋里 ~回復<role.type:ARGM-ADV>重新 ~回復<role.type:A1>黑暗 v:让+nl:屋里+d:重新+v:回复+a:黑暗+wp:。)
回复黑暗	回復黑暗
// 《我在幕后调教大佬》	明天回复正常更新…… (~回復<COO>v:整合 nt:明天+v:回复+a:正常+v:更新+wp:……) (~回復<role.type:ARGM-TMP>明天 ~回復<role.type:A1>正常更新 nt:明天+v:回复+a:正常+v:更新+wp:……)
回复正常	回復正常
// 《苍青之剑》	随后便迅速回复正常。 (~回復<COO>a:邪恶 ~回復<role.type:ARGM-DIS>因此 ~回復<role.type:ARGM-ADV>随后 ~回復<role.type:ARGM-DIS>便 ~回復<role.type:ARGM-ADV>迅速 ~回復<role.type:A1>正常 ~回復<role.type:ARGM-ADV>结果 d:随后+d: 便+a:迅速+v:回复+a:正常+wp:。) (~回復<role.type:ARGM-TMP>随后 ~回復<role.type:ARGM-ADV>便 ~回復<role.type:ARGM-ADV>迅速 ~回復<role.type:A2>正常 d:随后+d:便+a:迅速+v:回复+a:正常+wp:。)
速回复正常	速回復正常
// 《苍青之剑》	静置至回复常温后，加入宝石结晶虫的触须一对， (~回復<POB>v:至 ~回復<role.type:A1>常温 v:静+v:置+v:至+v:回复+n:常温+nd:后+wp:，+v:加入+n:宝石+n:结晶虫+u:的+n:触须+m:一+q:对+wp:，)
回复常温	回復常溫
// 《苍青之剑》	回复理智的方法只有两种： (~回復<ATT>n:方法 ~回復<role.type:A1>理智 ~回復<role.type:ARGM-MNR>方法 v:回复+n:理智+u:的+n:方法+d:只+v:有+m:两+q:种+wp:：)
回复理智	回復理智
// 《苍青之剑》	两人现在都已经回复战斗力了。 (~回復<role.type:A0>两人 ~回復<role.type:ARGM-TMP>现在 ~回復<role.type:ARGM-ADV>都 ~回復<role.type:ARGM-ADV>已经 ~回復<role.type:A1>战斗力 m:两+n:人+nt:现在+d:都+d:已经+v:回复+n:战斗力+u:了+wp:。)
回复战斗力	回復戰鬥力
// 《大奉打更人》	元景帝一双眼睛彻底回复了灵动， (~回復<COO>v:道 ~回復<role.type:A0>小公公 ~回復<role.type:ARGM-ADV>娓娓 ~回復<role.type:A0-PSR>元景帝 ~回復<role.type:A0-PSE>一双眼睛 ~回復<role.type:ARGM-ADV>彻底 nh:元景帝+m:一+q: 双+n:眼睛+a:彻底+v:回复+u:了+a:灵动+wp:，) (~回復<role.type:A0>元景帝 ~回復<role.type:A0>一双眼睛 ~回復<role.type:ARGM-ADV>彻底 ~回復<role.type:A1>灵动 nh:元景帝+m:一+q:双+n:眼睛+a:彻底+v:回复+u:了+a:灵动+wp:，)
彻底回复	徹底回復
// 《开局奖励一亿条命》	重伤垂死时更是能满血回复！ (~回復<COO>v:是 ~回復<role.type:ARGM-ADV>更 ~回復<role.type:ARGM-ADV>满血 n:重伤+v:垂死+n:时+d:更+v:是+v:能+d:满血+v:回复+wp:！)
满血回复	滿血回復
// 《苍青之剑》	先统一回复成出厂设置…… (~回復<role.type:ARGM-ADV>先 ~回復<role.type:ARGM-ADV>统一 ~回復<role.type:A1>出厂设置 d:先+a:统一+v:回复+v:成+v:出厂+v:设置+wp:……)
统一回复成	統一回復成
// 《我在幕后调教大佬》	山川又一次回复了平日里的安静。 (~回復<COO>v:有 ~回復<role.type:A0>山川 ~回復<role.type:ARGM-ADV>又一次 n:山川+d:又+m:一+q:次+v:回复+u:了+nt:平日+nd:里+u:的+a:安静+wp:。) (~回復<role.type:A0>山川 ~回復<role.type:ARGM-ADV>又一次 ~回復<role.type:A1>平日里的安静 n:山川+d:又+m:一+q:次+v:回复+u:了+nt:平日+nd:里+u:的+a:安静+wp:。)
回复了平日	回復了平日
// 《我在幕后调教大佬》	双目已经回复了正常的情况， (~回復<COO>v:具 ~回復<role.type:A0>他 n:双目+d:已经+v:回复+u:了+a:正常+u:的+n:情况+wp:，) (~回復<role.type:A0>双目 ~回復<role.type:ARGM-ADV>已经 ~回復<role.type:A1>正常的情况 n:双目+d:已经+v:回复+u:了+a:正常+u:的+n:情况+wp:，)
回复了正常	回復了正常

// 《超神机械师》	我就没回复他。 (~回覆<role.type:A0>我 ~回覆<role.type:ARGM-ADV>就 ~回覆<role.type:ARGM-ADV>没 ~回覆<role.type:A2>他 r:我+d:就+d:没+v:回复+r:他+wp:。)
没回复	沒回覆
// 《超神机械师》	韩萧往下看了看回复， (~回覆<VOB>v:看 nh:韩萧+v:往+nd:下+v:看+u:了+v:看+v:回复+wp:，)
看回复	看回覆
// 《大奉打更人》	一定要【先回复】书评区的帖子， (~回覆<role.type:ARGM-ADV>一定 ~回覆<role.type:ARGM-DIS>先 ~回覆<role.type:A1>书评区的帖子 d:一定+v:要+wp:【+d:先+v:回复+wp:】+n:书评区+u:的+n:帖子+wp:，)
先回复	先回覆
// [general.TW.txt]	没想到对方这么快回复讯息。 (~回覆<VOB>v:想到 ~回覆<role.type:A0>对方 ~回覆<role.type:ARGM-ADV>这么快 ~回覆<role.type:A1>讯息 ~回覆<←SBV>n:对方 d:没+v:想到+n:对方+r:这么+a:快+v:回复+n:讯息)
// 《超神机械师》	“帮我掠阵就好，别让他跑了。”韩萧很快回复。 (~回覆<role.type:A0>韩萧 ~回覆<role.type:ARGM-ADV>很快 wp:“+v:帮+r:我+v:掠+n:阵+d:就+a:好+wp:，+d:别+v:让+r:他+v:跑+u: 了+wp:。+wp:”+nh:韩萧+d:很快+v:回复+wp:。)
快回复	快回覆
// 《咫尺之间人尽敌国》	我这就回复希亚那边， (~回覆<COO>v:称为 ~回覆<role.type:ARGM-ADV>到时候 ~回覆<role.type:ARGM-PRP>因为自己的无知 ~回覆<role.type:A1>光辉圣王的后腿 ~回覆<role.type:ARGM-DIS>那 ~回覆<role.type:A0>我 ~回覆<role.type:ARGM-ADV>这 ~回覆<role.type:ARGM-ADV>就 ~回覆<role.type:A1>希亚那边 r:我+r:这+d:就+v:回复+nz:希亚+r:那边+wp:，) (~回覆<role.type:A0>我 ~回覆<role.type:ARGM-ADV>这就 ~回覆<role.type:A2>希亚那边 r:我+r:这就+v:回复+ns:希亚+r:那边+wp:。) (~回覆<role.type:A0>我 ~回覆<role.type:ARGM-ADV>这 ~回覆<role.type:ARGM-ADV>就 ~回覆<role.type:A2>希亚那边 r:我+r:这+d:就+v:回复+nh:希亚+r:那边+wp:，)
// 《第一序列》	你就回复他们， (~回覆<role.type:A0>你 ~回覆<role.type:ARGM-ADV>就 ~回覆<role.type:A2>他们 r:你+d:就+v:回复+r:他们+wp:，)
就回复	就回覆
// 《亏成首富从游戏开始》	裴谦刚想回复， (~回覆<VOB>v:想 nh:裴谦+d:刚+v:想+v:回复+wp:，)
想回复	想回覆
// 《亏成首富从游戏开始》	他甚至不知道应该回复些什么！ (~回覆<VOB>v:知道 ~回覆<role.type:A1>些什么 r:他+d:甚至+d:不+v:知道+v:应该+v:回复+q:些+r:什么+wp:！)
该回复	該回覆
// 《第一序列》	接者回复。 (~回覆<role.type:A0>接者 n:接者+v:回复+wp:。)
者回复	者回覆
// 《超神机械师》	给我回复消息。 (~回覆<role.type:A2>给我 ~回覆<role.type:A1>消息 p:给+r:我+v:回复+n:消息+wp:。)
// 《超神机械师》	要我回复他吗？ (~回覆<VOB>v:要 ~回覆<role.type:A0>我 ~回覆<role.type:A2>他 v:要+r:我+v:回复+r:他+u:吗+wp:？)
我回复	我回覆
// 《超神机械师》	黑星回复我了， (~回覆<role.type:A0>黑星 ~回覆<role.type:A1>我 nh:黑星+v:回复+r:我+u:了+wp:，)
星回复	星回覆
// 《超神机械师》	韩萧统一回复， (~回覆<role.type:A0>韩萧 ~回覆<role.type:ARGM-ADV>统一 nh:韩萧+a:统一+v:回复+wp:，)
一回复	一回覆
// 《亏成首富从游戏开始》	刚回复完常友，各种红包的声音接连不断地传来。 (~回覆<role.type:ARGM-ADV>刚 ~回覆<role.type:A1>常友 d:刚+v:回复+v:完+nh:常友+wp:，+r:各种+n:红包+u:的+n:声音+i:接连不断+u:地+v:传来+wp:。)
刚回复	剛回覆
// 《亏成首富从游戏开始》	周一再回复。 (~回覆<role.type:ARGM-TMP>周一 ~回覆<role.type:ARGM-ADV>再 nt:周一+d:再+v:回复+wp:。)
再回复	再回覆
// 《随波逐流之一代军师》	烦请回复贵门主， (~回覆<VOB>v:烦请 ~回覆<role.type:A1>贵门主 v:烦请+v:回复+r:贵+n:门主)
请回复	請回覆
// 《我的一天有48小时》	偷偷回复道， (d:偷偷+v:回复+v:道+wp:，)
偷回复	偷回覆
// 《我的一天有48小时》	你都回复我说要哄女儿睡觉。 (~回覆<role.type:A0>你 ~回覆<role.type:ARGM-ADV>都 ~回覆<role.type:A2>我 r:你+d:都+v:回复+r:我+v:说+v:要+v:哄+n:女儿+v:睡觉+wp:。)
都回复	都回覆
// 《一品修仙》	紫鸾快速回复。 (~回覆<role.type:A0>紫鸾 ~回覆<role.type:ARGM-ADV>快速 nh:紫鸾+d:快速+v:回复+wp:。)
速回复	速回覆
// 《我在幕后调教大佬》	先前伤势快速回复。 (~回復<COO>v:回过 nt:先前+n:伤势+d:快速+v:回复+wp:。) (~回復<role.type:A0>先前伤势 ~回復<role.type:ARGM-ADV>快速 nt:先前+n:伤势+d:快速+v:回复+wp:。)
伤势快速回复	傷勢快速回復
// 《大奉打更人》	此时身处南疆的许七安正要回复， (~回覆<role.type:ARGM-TMP>此时 ~回覆<role.type:A0>身处南疆的许七安 ~回覆<role.type:ARGM-ADV>正要 nt:此时+n:身+v:处+n:南疆+u:的+nh:许七安+d:正要+v:回复+wp:，)
正要回复	正要回覆
// 《亏成首富从游戏开始》	裴谦还没想好到底要回复些什么。 (~回覆<VOB>v:想 ~回覆<role.type:ARGM-ADV>到底 ~回覆<role.type:A1>些什么 nh:裴谦+d:还+d:没+v:想+a:好+d:到底+v:要+v:回复+q:些+r:什么+wp:。)
要回复些	要回覆些
// 《亏成首富从游戏开始》	想要回复两句， (~回覆<role.type:A2>两句 v:想+v:要+v:回复+m:两+q:句+wp:，)
要回复两句	要回覆兩句
// 《亏成首富从游戏开始》	时不时地还回复两句。 (~回覆<role.type:ARGM-ADV>时不时地 ~回覆<role.type:ARGM-DIS>还 ~回覆<role.type:A2>两句 d:时不时+u:地+d:还+v:回复+m:两+q:句+wp:。)
还回复两句	還回覆兩句
// 《大奉打更人》	一边摇头回复说： (~回覆<COO>v:摇头 d:一边+v:摇头+v:回复+v:说+wp:：)
摇头回复	搖頭回覆
// 《咫尺之间人尽敌国》	马上回复：“在。” (~回覆<role.type:ARGM-ADV>马上 ~回覆<role.type:A1>在 d:马上+v:回复+wp:：+wp:“+v:在+wp:。+wp:”)
马上回复	馬上回覆
// 《剑仙三千万》	对于这些会面申请秦林叶并未直接回复， (~回覆<role.type:A1>对于这些会面申请 ~回覆<role.type:A0>秦林叶 ~回覆<role.type:ARGM-ADV>并未 ~回覆<role.type:ARGM-ADV>直接 p:对于+r:这些+v:会面+n:申请+nh:秦林叶+d:并未+a:直接+v:回复+wp:，)
直接回复	直接回覆
// 《我师兄实在太稳健了》	作者菌睡醒会一一回复~ (~回覆<role.type:A0>作者菌 ~回覆<role.type:ARGM-ADV>睡醒 ~回覆<role.type:ARGM-ADV>一一 n:作者+nh:菌+v:睡醒+v:会+d:一一+v:回复+wp:~)
一一回复	一一回覆
// 《我的一天有48小时》	樊美男注意到论坛上的那篇巨额交易悬赏帖还是因为几个月前她自己发的那篇帖子突然多出了很多回复。 (~回覆<VOB>v:多 nh:樊美男+v:注意+v:到+n:论坛+nd:上+u:的+r:那+q:篇+b:巨额+n:交易+n:悬赏帖+v:还是+p:因为+m:几+q:个+n:月+nd:前+r:她+r:自己+v:发+u:的+r:那+q:篇+n:帖子+a:突然+v:多+v:出+u:了+m:很多+v:回复+wp:。)
很多回复	很多回覆
// 《超神机械师》	碧空悠悠很快就回复。 (~回覆<role.type:A0>碧空 ~回覆<role.type:ARGM-ADV>悠悠 ~回覆<role.type:ARGM-ADV>很快 ~回覆<role.type:ARGM-ADV>就 n:碧空+z:悠悠+d:很快+d:就+v:回复+wp:。)
很快就回复	很快就回覆
// 《我的一天有48小时》	他迅速回复道。 (r:他+a:迅速+v:回复+v:道+wp:。)
速回复道	速回覆道

// 《我的一天有48小时》	按理说不可能再被复原的。 (~復原<role.type:ARGM-ADV>按理说 ~復原<role.type:ARGM-ADV>不 ~復原<role.type:ARGM-ADV>再 i:按理说+d:不+v:可能+d:再+p:被+v:复原+u:的+wp:。)
被复原	被復原

// https://ctext.org/post-han/zh?searchu=%E5%8F%8D%E8%A6%86
// https://discourse.m9981.com/t/topic/5612
同义反复	同義反覆
// https://notesbooks.wordpress.com/2020/07/21/%E8%A6%86%E5%88%BB%EF%BC%8E%E5%BE%A9%E5%88%BB%EF%BC%8E%E8%A4%87%E5%88%BB/
// 繁體字本《新校正夢溪筆談》（1975年1月港版，1978年2月重印），校注者胡道靜寫於1957年的〈校點說明〉，即有這樣的說明：「現存的最早刻本的夢溪筆談，是號稱為南宋乾道二年（一一六六）掦州州學刊本。實際上這是明代覆刻乾道二年的本子」。
// 《第一序列》	虽然任小粟很想把罗岚捆在身边复刻对方的技能， (~覆刻<COO>v:想 c:虽然+nh:任小粟+d:很+v:想+p:把+nh:罗岚+v:捆+p:在+nl:身边+v:复刻+n:对方+u:的+n:技能+wp:，)
// 《第一序列》	赫然发现这人对面的营养仓里，那超凡者的复刻体不知道何时竟然睁开了眼睛！ (~覆刻體<SBV>v:睁 a:赫然+v:发现+r:这+n:人+nd:对面+u:的+n:营养仓+nd:里+wp:，+r:那+n:超凡者+u:的+n:复刻体+d:不+v:知道+r:何时+d:竟然+v:睁+v:开+u:了+n:眼 睛+wp:！)
复刻	覆刻
// 《第一序列》	一个被复刻出来的怪物， (~覆刻<ATT>n:怪物 ~覆刻<role.type:A1>怪物 m:一个+p:被+v:复刻+v:出来+u:的+n:怪物+wp:，)
// 《第一序列》	从他被复刻出来到现在， (~覆刻<POB>p:从 p:从+r:他+p:被+v:复刻+v:出来+p:到+nt:现在+wp:，)
被复刻	被覆刻


// 解析錯誤 @ 好讀《潛規則》	道咸宦海見聞錄 (nh:道咸) (ns:道咸)
道咸	道咸
// [[宋朝科技]]	咸平之治 (nh:咸平+u:之+v:治)
咸平	咸平
// 解析錯誤 @ 《随波逐流之一代军师》	咸思储君， (nh:咸思)
咸思	咸思
// 解析錯誤 @ 《随波逐流之一代军师》	咸赦除之。 (a:咸+v:赦+v:除+r:之) (v:咸赦)
咸赦	咸赦
// 解析錯誤 @ 《我在幕后调教大佬》	咸制万灵	(a:咸制+n:万灵+wp:。)	(d:咸+v:制+m:万灵+wp:！)	(v:咸+v:制+n:万灵+wp:。)	(v:咸制+n:万灵+r:这+m:一+q:句+wp:，)
咸制	咸制
// 《宋朝游历指南》	惟人视履与物咸新。 (~咸<ADV>a:新 d:惟+n:人+v:视+n:履+p:与+n:物+a:咸+a:新+wp:。)
与物咸新	與物咸新


// 解析錯誤 @ 《宋朝游历指南》	抹脏红丝、 (v:抹+n:脏红丝) (v:抹+a:脏)	抹脏、煎肝脏、 (n:抹脏+wp:、) (v:抹+a:脏+wp:、)
抹脏	抹臟
// 《咫尺之间人尽敌国》	炼脏换血， (v:炼+n:脏+v:换血)
// 解析錯誤 @ 《咫尺之间人尽敌国》	那么就炼脏换血， (v:炼+a:脏+v:换+n:血)
// 《剑仙三千万》	这位秦林叶同学仍然是筑基第五步炼脏修为， (v:炼+n:脏+n:修为)
炼脏	煉臟
// 解析錯誤 @ 《烂柯棋缘》	什么感受到天地浩渺萃以天地之力洗髓伐脏。 (n:天地+u:之+n:力+v:洗+n:髓+v:伐+a:脏)
伐脏	伐臟
// 《咫尺之间人尽敌国》	非得震出心脏病不可。 (~心臟病<VOB>v:出 d:非得+v:震+v:出+n:心脏病+v:不可+wp:。)
出心脏	出心臟
// 《煌煌天道无上剑宗》	尽纳于五脏六腑。 (~五臟六腑<POB>p:于 d:尽+v:纳+p:于+i:五脏六腑+wp:。)
于五脏	於五臟

// 《我师兄实在太稳健了》	心脏得很！ (n:心脏+u:得+d:很)
心脏得	心髒得
// 解析錯誤 @ 《我师兄实在太稳健了》	他们心脏的很。 (~心髒<←ATT>r:他们 r:他们+n:心脏+u:的+d:很) (r:他们+n:心+a:脏+u:的+d:很) 匹配的條件式: n:心+~臟+u:的
心脏的很	心髒的很


// "讚"較常用。
赞	讚
// 《亏成首富从游戏开始》	到时候很多大赞助商为了赞助dge俱乐部疯狂加价…… (~贊助商<SBV>v:加价 p:到+n:时候+m:很多+a:大+n:赞助商+p:为了+v:赞助+nz:dge+n:俱乐部+a:疯狂+v:加价+wp:……)
// 《亏成首富从游戏开始》	如果因为热度暴涨引来了许多大赞助商， (~贊助商<VOB>v:引来 c:如果+p:因为+n:热度+v:暴涨+v:引来+u:了+m:许多+a:大+n:赞助商+wp:，)
大赞助	大贊助


// 解析錯誤 @ 《烂柯棋缘》	大谷场承载了其头部和近半身躯， (n:大谷场+v:承载+u:了) (a:大谷场+v:承载+u:了)
大谷场	大穀場
// 《宋朝游历指南》	“撒谷豆” (wp:“+nh:撒谷豆+wp:”)
// 《宋朝游历指南》	撒过谷豆， (~穀豆<VOB>v:撒 v:撒+u:过+n:谷豆+wp:，)
谷豆	穀豆


// 解析錯誤 @ 《剑仙三千万》	只要具备御剑飞行之力， (v:具备御剑+v:飞行+u:之+n:力)
御剑	御劍
具备御剑	具備御劍


// 解析錯誤 @ 《我在幕后调教大佬》	柔云栗糕……… (a:柔+n:云+n:栗糕)
栗糕	栗糕
// 《苍青之剑》	见这次说话的是位漂亮的栗发小姐姐， (~栗髮<ATT>n:小姐姐 v:见+r:这+q:次+v:说话+u:的+v:是+q:位+a:漂亮+u:的+nz:栗发+n:小姐姐+wp:，)
栗发	栗髮
// 《宋朝游历指南》	还有加松栗、胡桃、姜桂和麝香等， (~松栗<VOB>v:加 v:还有+v:加+n:松栗+wp:、+n:胡桃+wp:、+n:姜桂+c:和+n:麝香+u:等+wp:，)
松栗	松栗
// 解析錯誤 @ 《中国历史那些事儿系列套装》	他本想火中取栗， (n:火中取+n:栗)
// (i:乱中取栗) (v:取栗)
取栗	取栗
// 《中国历史那些事儿系列套装》	你姓栗的是一个变态的女人。 (~栗<VOB>v:姓 r:你+v:姓+nh:栗+u:的+v:是+m:一个+a:变态+u:的+n:女人+wp:。)
姓栗	姓栗
// 《苍青之剑》	阿斯克赏了两个少女每人一个暴栗。 (~暴栗<VOB>v:赏 nh:阿斯克+v:赏+u:了+m:两+q:个+n:少女+r:每人+m:一个+n:暴栗+wp:。)
暴栗	暴栗
爆栗	爆栗
// 《神国之上》	做打板栗状。 (~板栗<VOB>v:打 v:做+v:打+n:板栗+n:状+wp:。)
打板栗	打板栗
// 《苍青之剑》	她装模作样地将其瞄准阿斯克，然后被毫不留情地赏了一个头栗。 (~頭栗<VOB>v:赏 r:她+i:装模作样+u:地+p:将+r:其+v:瞄准+nh:阿斯克+wp:，+c:然后+p:被+i:毫不留情+u:地+v:赏+u:了+m:一个+n:头栗+wp:。)
个头栗	個頭栗
// 《宋朝游历指南》	有螯蟹、石榴、榅桲、梨、枣、栗、孛萄、枨橘等， (~栗<COO>n:螯蟹 v:有+n:螯蟹+wp:、+n:石榴+wp:、+n:榅桲+wp:、+n:梨+wp:、+n:枣+wp:、+n:栗+wp:、+n:孛萄+wp:、+n:枨橘+u:等+wp:，)
枣、栗	棗、栗


// 解析錯誤 @ 《亏成首富从游戏开始》	(d:老余+r:你+v:中+n:彩票+u:了+wp:？)	(nh:老余+v:是+nh:欧皇+wp:，)
老余	老余
// 《我不可能是剑神》	因为后来余七安余道长来了德云观， (~余<ATT>n:道长 p:因为+nt:后来+nh:余七安+nh:余+n:道长+v:来+u:了+ns:德云观+wp:，)
// 《我不可能是剑神》	余道长 (~余道長<SBV>v:琢磨 nh:余道长+v:琢磨+u:着+wp:：)
余道长	余道長
// 《咫尺之间人尽敌国》	余宗主愿入我雷霆宗， (~余<ATT>n:宗主 nh:余+n:宗主+v:愿+v:入+r:我+nz:雷霆宗)	你怎么认得余宗主？ (r:你+r:怎么+v:认得+nh:余宗主)
余宗主	余宗主
// 《我不可能是剑神》	那我可以用我余某人的良心担保， (~余<ATT>r:某人 c:那+r:我+v:可以+p:用+r:我+nh:余+r:某人+u:的+n:良心+v:担保+wp:，)
我余某人	我余某人


// 解析錯誤 @ 《烂柯棋缘》	(nh:涂道友)	(wp:“+v:涂道友+v:知道+v:涂+n:韵+v:犯+u:了+r:什么+n:事么+wp:？)	(wp:“+v:涂+n:道友+d:且+a:慢+wp:，)
// 解析錯誤 @ 《烂柯棋缘》	(wp:“+d:不过+v:涂道+n:友+d:硬+v:要+v:说+n:计某+p:为+v:问+n:罪+c:而+v:来+wp:，)
涂道友	涂道友
// 解析錯誤 @ 《烂柯棋缘》	(v:听+r:你+v:涂+n:夫人+u:的+n:意思+wp:，)
涂夫人	涂夫人
// 《我不可能是剑神》	余观主、 (~余<ATT>n:观主 nh:余+n:观主+wp:、)
余观主	余觀主


